question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer
11,"1,4-dioxacyclohexadecane-5,16-dione",C1CCCCCC(=O)OCCOC(=O)CCCC1,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1CCCCCC(=O)OCCOC(=O)CCCC1] activates. Do not write any comments.,"Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [1,4-dioxacyclohexadecane-5,16-dione] activates. Do not write any comments.",hOR5A2;hOR5AN1
12,"2,3-Diethylpyrazine",CCC1=NC=CN=C1CC,,,hOR5K1;hOR5K4;hOR1A2;OR5K3;hOR1A1;hOR5K2,or_activation,Among the following [hOR5K1;hOR5K4;hOR1A2;OR5K3;hOR1A1;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC1=NC=CN=C1CC] activates. Do not write any comments.,"Among the following [hOR5K1;hOR5K4;hOR1A2;OR5K3;hOR1A1;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [2,3-Diethylpyrazine] activates. Do not write any comments.",hOR5K1
13,"2,6-Dimethylpyrazine",CC1=CN=CC(=N1)C,,,hOR5K1;hOR5K4;OR5K3;hOR5K2,or_activation,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=CN=CC(=N1)C] activates. Do not write any comments.,"Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [2,6-Dimethylpyrazine] activates. Do not write any comments.",hOR5K1
14,2-Pentylpyridine,CCCCCC1=CC=CC=N1,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCC1=CC=CC=N1] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Pentylpyridine] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1
15,butyl anthranilate,CCCCOC(=O)C1=CC=CC=C1N,,,hOR4Q3;hOR4Q3_F238L;hOR2J2_T111A;nan,or_activation,Among the following [hOR4Q3;hOR4Q3_F238L;hOR2J2_T111A;nan] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCOC(=O)C1=CC=CC=C1N] activates. Do not write any comments.,Among the following [hOR4Q3;hOR4Q3_F238L;hOR2J2_T111A;nan] olfactory receptor gene IDs choose all olfactory receptors that molecule [butyl anthranilate] activates. Do not write any comments.,hOR4Q3;hOR2J2_T111A;nan
16,2-Methoxy-5-methylphenol,CC1=CC(=C(C=C1)OC)O,,,hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=CC(=C(C=C1)OC)O] activates. Do not write any comments.,Among the following [hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR2W1;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Methoxy-5-methylphenol] activates. Do not write any comments.,hOR2W1_D296N
17,celestolide,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [celestolide] activates. Do not write any comments.,hOR5A2;hOR5AN1
18,Traseolide,CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Traseolide] activates. Do not write any comments.,hOR5A2;hOR11A1
19,methyl octanoate,CCCCCCCC(=O)OC,,,hOR52D1;OR2W3;OR2T4;hOR1G1;OR2L13;OR2A7;OR2A42;OR51B5;OR10S1,or_activation,Among the following [hOR52D1;OR2W3;OR2T4;hOR1G1;OR2L13;OR2A7;OR2A42;OR51B5;OR10S1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCCCC(=O)OC] activates. Do not write any comments.,Among the following [hOR52D1;OR2W3;OR2T4;hOR1G1;OR2L13;OR2A7;OR2A42;OR51B5;OR10S1] olfactory receptor gene IDs choose all olfactory receptors that molecule [methyl octanoate] activates. Do not write any comments.,hOR1G1
20,Exaltenone,C1CCCCCC(=O)CCC=CCCCC1,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1CCCCCC(=O)CCC=CCCCC1] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Exaltenone] activates. Do not write any comments.,hOR5A2;hOR5AN1
21,Ethylcyclohexanecarboxylate,CCOC(=O)C1CCCCC1,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCOC(=O)C1CCCCC1] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Ethylcyclohexanecarboxylate] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR1A1
22,2-Vinylpyrazine,C=CC1=NC=CN=C1,,,hOR5K1;hOR5K4;OR5K3;hOR5K2,or_activation,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [C=CC1=NC=CN=C1] activates. Do not write any comments.,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Vinylpyrazine] activates. Do not write any comments.,hOR5K1
23,"3,4-Hexanedione",CCC(=O)C(=O)CC,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC(=O)C(=O)CC] activates. Do not write any comments.,"Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [3,4-Hexanedione] activates. Do not write any comments.",hOR2W1
24,2-Ethyl-3-methylpyrazine,CCC1=NC=CN=C1C,,,hOR5K1;hOR5K4;OR5K3;hOR5K2,or_activation,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC1=NC=CN=C1C] activates. Do not write any comments.,Among the following [hOR5K1;hOR5K4;OR5K3;hOR5K2] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-Ethyl-3-methylpyrazine] activates. Do not write any comments.,hOR5K1
25,"1,16-hexadecalactone",C1CCCCCCCC(=O)OCCCCCCC1,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1CCCCCCCC(=O)OCCCCCCC1] activates. Do not write any comments.,"Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [1,16-hexadecalactone] activates. Do not write any comments.",hOR5A2;hOR5AN1
26,"1-Propanol, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methyl-, 1-propanoate",CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C] activates. Do not write any comments.,"Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [1-Propanol, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methyl-, 1-propanoate] activates. Do not write any comments.",hOR5A2
27,1-Methyl-4-(prop-1-en-2-yl)benzene,CC1=CC=C(C=C1)C(=C)C,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1;hOR5K1;hOR2M3;hOR11A1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1;hOR5K1;hOR2M3;hOR11A1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=CC=C(C=C1)C(=C)C] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1;hOR5K1;hOR2M3;hOR11A1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [1-Methyl-4-(prop-1-en-2-yl)benzene] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR8H1
28,Cervolide,C1CCCCCOCCCCOC(=O)CCCC1,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1CCCCCOCCCCOC(=O)CCCC1] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Cervolide] activates. Do not write any comments.,hOR5A2;hOR5AN1
29,"2,3-Hexanedione",CCCC(=O)C(=O)C,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCC(=O)C(=O)C] activates. Do not write any comments.,"Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [2,3-Hexanedione] activates. Do not write any comments.",hOR2W1
30,3-Phenylbutyraldehyde,CC(CC=O)C1=CC=CC=C1,,,OR2T4;OR2A7;hOR3A1;hOR1D2,or_activation,Among the following [OR2T4;OR2A7;hOR3A1;hOR1D2] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(CC=O)C1=CC=CC=C1] activates. Do not write any comments.,Among the following [OR2T4;OR2A7;hOR3A1;hOR1D2] olfactory receptor gene IDs choose all olfactory receptors that molecule [3-Phenylbutyraldehyde] activates. Do not write any comments.,hOR3A1;hOR1D2
31,Oxalide T,C1CCCCOCCCCCCOC(=O)CCC1,,,hOR5A2;hOR11A1;OR5A1;hOR5AN1,or_activation,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [C1CCCCOCCCCCCOC(=O)CCC1] activates. Do not write any comments.,Among the following [hOR5A2;hOR11A1;OR5A1;hOR5AN1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Oxalide T] activates. Do not write any comments.,hOR5A2;hOR5AN1
32,(+)-Sabinene,CC(C)[C@]12CCC(=C)[C@H]1C2,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC(C)[C@]12CCC(=C)[C@H]1C2] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(+)-Sabinene] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N
33,3-Heptanone,CCCCC(=O)CC,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCC(=O)CC] activates. Do not write any comments.,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [3-Heptanone] activates. Do not write any comments.,hOR2W1;hOR1A1
34,2-methylheptanoic acid,CCCCCC(C)C(=O)O,,,hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1,or_activation,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCC(C)C(=O)O] activates. Do not write any comments.,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [2-methylheptanoic acid] activates. Do not write any comments.,hOR56A5
35,Butyl formate,CCCCOC=O,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCOC=O] activates. Do not write any comments.,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Butyl formate] activates. Do not write any comments.,hOR2W1
36,Butyl butyryllactate,CCCCOC(=O)C(C)OC(=O)CCC,,,hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1,or_activation,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCOC(=O)C(C)OC(=O)CCC] activates. Do not write any comments.,Among the following [hOR2M7;OR2C1;hOR2W1;hOR51L1;hOR5P3;hOR10J5;hOR2J2_Y74H_T111A_V146A_T218A;hOR1A1;hOR51E2;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [Butyl butyryllactate] activates. Do not write any comments.,OR51E1
37,(Z)-3-Hexen-1-yl acetate,CC/C=C\CCOC(=O)C,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC/C=C\CCOC(=O)C] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR1A1;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(Z)-3-Hexen-1-yl acetate] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V
38,(E)-3-methyl-2-hexenoic acid,CCC/C(=C/C(=O)O)/C,,,hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1,or_activation,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCC/C(=C/C(=O)O)/C] activates. Do not write any comments.,Among the following [hOR52E8;hOR51L1;hOR51I2;hOR52A5;hOR52D1;OR52B2;hOR51E2;hOR56A5;OR52L1;OR51E1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(E)-3-methyl-2-hexenoic acid] activates. Do not write any comments.,hOR51I2
39,(4R/4S)-γ-Nonalactone,CCCCCC1CCC(=O)O1,,,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CCCCCC1CCC(=O)O1] activates. Do not write any comments.,Among the following [hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1;hOR5K1;hOR2M3;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(4R/4S)-γ-Nonalactone] activates. Do not write any comments.,hOR2W1;hOR2W1_D296N;hOR2W1_M81V;hOR1A1
40,(R)-α-Phellandrene,CC1=CC[C@@H](C=C1)C(C)C,,,hOR2W1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1,or_activation,Among the following [hOR2W1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [CC1=CC[C@@H](C=C1)C(C)C] activates. Do not write any comments.,Among the following [hOR2W1;hOR5K1;hOR11A1;hOR8H1;hOR5M3;hOR8D1] olfactory receptor gene IDs choose all olfactory receptors that molecule [(R)-α-Phellandrene] activates. Do not write any comments.,hOR2W1
