question_ID,compound.name,SMILES_1,SMILES_2,question_category,prompt.1,prompt.2,answer,Intensity_1,Intensity_2
INT-0051,"2,5-dimethyl-4-methoxy-3(2H)-furanone",CCCCCCCCOC(=O)CC(C)C,COC1=C(C)OC(C)C1=O,Intensity,,,"COC1=C(C)OC(C)C1=O | 2,5-dimethyl-4-methoxy-3(2H)-furanone",27.642857143,75.291666667
INT-0052,3-Pentanol,N[C@@H](Cc1ccccc1)C(=O)O,CCC(O)CC,Intensity,,,CCC(O)CC | 3-Pentanol,28.034482759,75.276595745
INT-0053,Cinnamyl Alcohol,CCCC(=S)OC,OCC=Cc1ccccc1,Intensity,,,OCC=Cc1ccccc1 | Cinnamyl Alcohol,28.491525424,75.229166667
INT-0054,Carvacrol,NC(=O)CC[C@H](N)C(=O)O,Cc1ccc(C(C)C)cc1O,Intensity,,,Cc1ccc(C(C)C)cc1O | Carvacrol,28.842105263,74.836734694
INT-0055,Phenethyl Isothiocyanate,CC(C)c1ccc(CO)cc1,S=C=NCCc1ccccc1,Intensity,,,S=C=NCCc1ccccc1 | Phenethyl Isothiocyanate,29.0,74.734693878
INT-0056,3-(Methylthio)-1-propanol,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,CSCCCO,Intensity,,,CSCCCO | 3-(Methylthio)-1-propanol,29.066666667,74.608695652
INT-0057,Carvyl acetate,CC1CCC(=O)O1,C=C(C)C1CC=C(C)C(OC(C)=O)C1,Intensity,,,C=C(C)C1CC=C(C)C(OC(C)=O)C1 | Carvyl acetate,29.258064516,74.291666667
INT-0058,Geranonitrile,COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],CC(C)=CCC/C(C)=C/C#N,Intensity,,,CC(C)=CCC/C(C)=C/C#N | Geranonitrile,29.590909091,74.244897959
INT-0059,"2-Ethyl-1,3,3-trimethylbicyclo(2.2.1)heptan-2-ol",C=CCCCCCCCCC(=O)OCCCC,CCC1(O)C2(C)CCC(C2)C1(C)C,Intensity,,,"CCC1(O)C2(C)CCC(C2)C1(C)C | 2-Ethyl-1,3,3-trimethylbicyclo(2.2.1)heptan-2-ol",29.681818182,73.934782609
INT-0060,Isoamyl mercaptan,N[C@@H](Cc1ccc(O)cc1)C(=O)O,CC(C)CCS,Intensity,,,CC(C)CCS | Isoamyl mercaptan,29.954545455,73.693181818
INT-0061,Methyl Salicylate,O=C(OCc1ccccc1)c1ccccc1O,COC(=O)c1ccccc1O,Intensity,,,COC(=O)c1ccccc1O | Methyl Salicylate,30.033333333,73.367346939
INT-0062,3-(5-Methyl-2-furyl)butanal,SCCc1cnccn1,Cc1ccc(C(C)CC=O)o1,Intensity,,,Cc1ccc(C(C)CC=O)o1 | 3-(5-Methyl-2-furyl)butanal,30.324324324,73.346938776
INT-0063,"3-Methyl-1,2-cyclopentanedione",CC(C)C(=O)OCc1ccc2c(c1)OCO2,CC1CCC(=O)C1=O,Intensity,,,"CC1CCC(=O)C1=O | 3-Methyl-1,2-cyclopentanedione",30.36,73.3125
INT-0064,Dihydrocoumarin,C=C1CC[C@H]2C[C@@H]1C2(C)C,O=C1CCc2ccccc2O1,Intensity,,,O=C1CCc2ccccc2O1 | Dihydrocoumarin,30.413793103,73.265306122
INT-0065,4-Methyl-5-(2-hydroxyethyl)thiazole,C=CCOC(=O)Cc1ccccc1,Cc1ncsc1CCO,Intensity,,,Cc1ncsc1CCO | 4-Methyl-5-(2-hydroxyethyl)thiazole,30.571428571,73.0625
INT-0066,Nerol,CC(C)CCN,CC(C)=CCC/C(C)=C\CO,Intensity,,,CC(C)=CCC/C(C)=C\CO | Nerol,30.588235294,73.043478261
INT-0067,2-Phenylethanol,CC(C)C(=O)OCCOc1ccccc1,OCCc1ccccc1,Intensity,,,OCCc1ccccc1 | 2-Phenylethanol,31.05,72.857142857
INT-0068,2'-Aminoacetophenone,CCCCCCCCCCCC(=O)O,CC(=O)c1ccccc1N,Intensity,,,CC(=O)c1ccccc1N | 2'-Aminoacetophenone,31.053571429,72.714285714
INT-0069,3-Octanol,O=C(O)C(O)C(O)C(=O)O,CCCCCC(O)CC,Intensity,,,CCCCCC(O)CC | 3-Octanol,31.071428571,72.591836735
INT-0070,2-Hexanone,[I],CCCCC(C)=O,Intensity,,,CCCCC(C)=O | 2-Hexanone,31.095238095,72.416666667
INT-0071,Geraniol,CC(C)[C@H](N)C(=O)O,CC(C)=CCC/C(C)=C/CO,Intensity,,,CC(C)=CCC/C(C)=C/CO | Geraniol,31.75,72.375
INT-0072,2-Methoxynaphthalene,OCC1CCCO1,COc1ccc2ccccc2c1,Intensity,,,COc1ccc2ccccc2c1 | 2-Methoxynaphthalene,31.8,72.354166667
INT-0073,5-Butyl-4-methyldihydro-2(3H)-furanone,c1ccc(-c2ccccc2)cc1,CCCCC1OC(=O)CC1C,Intensity,,,CCCCC1OC(=O)CC1C | 5-Butyl-4-methyldihydro-2(3H)-furanone,32.181818182,72.333333333
INT-0074,4-Methoxybenzaldehyde,O=C1CCCCCN1,COc1ccc(C=O)cc1,Intensity,,,COc1ccc(C=O)cc1 | 4-Methoxybenzaldehyde,32.407407407,72.14893617
INT-0075,Isovaleric Acid,O=C(O)CCC(=O)O,CC(C)CC(=O)O,Intensity,,,CC(C)CC(=O)O | Isovaleric Acid,32.666666667,72.136363636
INT-0076,"Carvone, (-)-",CCCCCCCCCC1CCCC(=O)O1,C=C(C)[C@@H]1CC=C(C)C(=O)C1,Intensity,,,"C=C(C)[C@@H]1CC=C(C)C(=O)C1 | Carvone, (-)-",32.865671642,72.102040816
INT-0077,2-Hexanol,CCCC(C)C(=O)O,CCCCC(C)O,Intensity,,,CCCCC(C)O | 2-Hexanol,33.156862745,72.041666667
INT-0078,4-Methylphenyl acetate,CCC(C)=O,CC(=O)Oc1ccc(C)cc1,Intensity,,,CC(=O)Oc1ccc(C)cc1 | 4-Methylphenyl acetate,33.486486486,71.918367347
INT-0079,2-Methoxybenzaldehyde,Cc1ccnc2ccccc12,COc1ccccc1C=O,Intensity,,,COc1ccccc1C=O | 2-Methoxybenzaldehyde,33.583333333,71.778947368
INT-0080,4-Methylanisole,CC(C)CC(=O)OC1CC(C)CCC1C(C)C,COc1ccc(C)cc1,Intensity,,,COc1ccc(C)cc1 | 4-Methylanisole,33.815789474,71.744680851
INT-0081,2-Acetyl-5-Methylfuran,CCCCC=O,CC(=O)c1ccc(C)o1,Intensity,,,CC(=O)c1ccc(C)o1 | 2-Acetyl-5-Methylfuran,33.925925926,71.708333333
INT-0082,Allyl tiglate,CCCCCCCCCOC(C)=O,C=CCOC(=O)/C(C)=C/C,Intensity,,,C=CCOC(=O)/C(C)=C/C | Allyl tiglate,34.606060606,71.571428571
INT-0083,I2-Ionone,CC(=O)OC1CC2CCC1(C)C2(C)C,CC(=O)/C=C/C1=C(C)CCCC1(C)C,Intensity,,,CC(=O)/C=C/C1=C(C)CCCC1(C)C | I2-Ionone,34.756097561,71.533333333
INT-0084,"1,8-Cineole",O=Cc1ccc(O)cc1,CC12CCC(CC1)C(C)(C)O2,Intensity,,,"CC12CCC(CC1)C(C)(C)O2 | 1,8-Cineole",35.529411765,71.468085106
INT-0085,6-Methyl-5-hepten-2-one,CCC(O)c1ccccc1,CC(=O)CCC=C(C)C,Intensity,,,CC(=O)CCC=C(C)C | 6-Methyl-5-hepten-2-one,35.555555556,71.354166667
INT-0086,Propyl propionate,NCCC(=O)O,CCCOC(=O)CC,Intensity,,,CCCOC(=O)CC | Propyl propionate,35.75862069,71.212765957
INT-0087,Dimethyl trisulfide,CCCCCCOC(=O)CCCCC,CSSSC,Intensity,,,CSSSC | Dimethyl trisulfide,36.5,71.118918919
INT-0088,3-Octanone,CC(C)COC(=O)c1ccccc1,CCCCCC(=O)CC,Intensity,,,CCCCCC(=O)CC | 3-Octanone,36.75,70.595744681
INT-0089,Allyl 2-ethylbutyrate,CC(=O)OC(C)C,C=CCOC(=O)C(CC)CC,Intensity,,,C=CCOC(=O)C(CC)CC | Allyl 2-ethylbutyrate,37.06779661,70.511111111
INT-0090,4-Heptanone,CCCCCCCC(=O)OCCCCC,CCCC(=O)CCC,Intensity,,,CCCC(=O)CCC | 4-Heptanone,37.48,70.081632653
INT-0091,Tributyrin,COc1cc(C(C)=O)ccc1O,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,Intensity,,,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC | Tributyrin,37.5,69.630434783
INT-0092,Thioguaiacol,C=CCSCC=C,COc1ccccc1S,Intensity,,,COc1ccccc1S | Thioguaiacol,37.764705882,69.394366197
INT-0093,3-Hexanol,CCOC(=O)C1OC1(C)c1ccccc1,CCCC(O)CC,Intensity,,,CCCC(O)CC | 3-Hexanol,37.804347826,69.32967033
INT-0094,4-Propylphenol,CC=Cc1cc(C)c(O)c(OC)c1,CCCc1ccc(O)cc1,Intensity,,,CCCc1ccc(O)cc1 | 4-Propylphenol,37.944444444,69.063829787
INT-0095,Benzaldehyde dimethyl acetal,CC(=O)c1cccs1,COC(OC)c1ccccc1,Intensity,,,COC(OC)c1ccccc1 | Benzaldehyde dimethyl acetal,38.047619048,69.041666667
INT-0096,Iodoform,CC(O)C(C)S,IC(I)I,Intensity,,,IC(I)I | Iodoform,38.2,69.0
INT-0097,"1,3-Dimethoxybenzene",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,COc1cccc(OC)c1,Intensity,,,"COc1cccc(OC)c1 | 1,3-Dimethoxybenzene",38.259259259,68.734693878
INT-0098,Cycloheptanone,CCCCCCOC(=O)c1ccccc1,O=C1CCCCCC1,Intensity,,,O=C1CCCCCC1 | Cycloheptanone,38.931506849,68.666666667
INT-0099,6-Methylquinoline,C=CCCCCCC,Cc1ccc2ncccc2c1,Intensity,,,Cc1ccc2ncccc2c1 | 6-Methylquinoline,39.138888889,68.574468085
INT-0100,Octanoic Acid,CCCCCC(CC)OC(C)=O,CCCCCCCC(=O)O,Intensity,,,CCCCCCCC(=O)O | Octanoic Acid,39.285714286,68.488372093
INT-0101,Cyclohexanone,CCCCCCCCCCC(=O)OCC,O=C1CCCCC1,Intensity,,,O=C1CCCCC1 | Cyclohexanone,39.5,68.302083333
INT-0102,Methyl hexanoate,C=CCc1cc(C)c(O)c(OC)c1,CCCCCC(=O)OC,Intensity,,,CCCCCC(=O)OC | Methyl hexanoate,39.794117647,68.208333333
INT-0103,P-Cymene,NC(Cc1ccccc1)C(=O)O,Cc1ccc(C(C)C)cc1,Intensity,,,Cc1ccc(C(C)C)cc1 | P-Cymene,40.048387097,68.177777778
INT-0104,Ethyl 3-(furfurylthio)propionate,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,CCOC(=O)CCSCc1ccco1,Intensity,,,CCOC(=O)CCSCc1ccco1 | Ethyl 3-(furfurylthio)propionate,40.181818182,68.153846154
INT-0105,Undecanal,CCCCCCCCCCCO,CCCCCCCCCCC=O,Intensity,,,CCCCCCCCCCC=O | Undecanal,40.5,68.022727273
INT-0106,1-Nonanol,Cc1cccc2nccnc12,CCCCCCCCCO,Intensity,,,CCCCCCCCCO | 1-Nonanol,40.736842105,67.891304348
INT-0107,Heptanol,CCOC(C)=O,CCCCCCCO,Intensity,,,CCCCCCCO | Heptanol,40.970588235,67.85106383
INT-0108,2-Methyl-1-butanol,CC/C=C\CCOC(=O)c1ccccc1,CCC(C)CO,Intensity,,,CCC(C)CO | 2-Methyl-1-butanol,41.0,67.576470588
INT-0109,Benzyl acetate,CCOC(=O)c1ccco1,CC(=O)OCc1ccccc1,Intensity,,,CC(=O)OCc1ccccc1 | Benzyl acetate,41.219512195,66.955555556
INT-0110,4-Methyl-5-thiazoleethanol acetate,CCCCCC(=O)CCCCC,CC(=O)OCCc1scnc1C,Intensity,,,CC(=O)OCCc1scnc1C | 4-Methyl-5-thiazoleethanol acetate,42.41025641,66.872340426
INT-0111,1-Pentanol,CCCCC(=O)O,CCCCCO,Intensity,,,CCCCCO | 1-Pentanol,42.551724138,66.657142857
INT-0112,Linoleic Acid,CCCOC(C)=O,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,Intensity,,,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O | Linoleic Acid,42.615384615,66.595744681
INT-0113,4-Ethoxybenzaldehyde,CC=O,CCOc1ccc(C=O)cc1,Intensity,,,CCOc1ccc(C=O)cc1 | 4-Ethoxybenzaldehyde,42.894736842,66.021276596
INT-0114,2-Octanone,COc1ccc2ccc(=O)oc2c1,CCCCCCC(C)=O,Intensity,,,CCCCCCC(C)=O | 2-Octanone,43.488888889,65.4375
INT-0115,Phenethylamine,CCCCCCCCC(C)=O,NCCc1ccccc1,Intensity,,,NCCc1ccccc1 | Phenethylamine,43.837209302,65.404255319
INT-0116,1-Octanol,CC=Cc1ccc2c(c1)OCO2,CCCCCCCCO,Intensity,,,CCCCCCCCO | 1-Octanol,44.090909091,65.291666667
INT-0117,1-Octen-3-Ol,Sc1ccccc1,C=CC(O)CCCCC,Intensity,,,C=CC(O)CCCCC | 1-Octen-3-Ol,44.576923077,65.244897959
INT-0118,delta-Decalactone,CCOC(=O)CCC(=O)OCC,CCCCCC1CCCC(=O)O1,Intensity,,,CCCCCC1CCCC(=O)O1 | delta-Decalactone,45.052631579,65.166666667
INT-0119,1-Decanol,CC(C)=CCCC(C)(O)C1CO1,CCCCCCCCCCO,Intensity,,,CCCCCCCCCCO | 1-Decanol,45.125,65.021276596
INT-0120,delta-UNDECALACTONE,CC(C)C(=O)O,CCCCCCC1CCCC(=O)O1,Intensity,,,CCCCCCC1CCCC(=O)O1 | delta-UNDECALACTONE,45.31147541,65.0
INT-0121,Ethyl benzoate,CC(=O)OCC(COC(C)=O)OC(C)=O,CCOC(=O)c1ccccc1,Intensity,,,CCOC(=O)c1ccccc1 | Ethyl benzoate,45.658536585,64.933333333
INT-0122,Isoamyl butyrate,OCc1ccccc1,CCCC(=O)OCCC(C)C,Intensity,,,CCCC(=O)OCCC(C)C | Isoamyl butyrate,45.674418605,64.577777778
INT-0123,(+-)-Fenchone,CCCCC(CC)COC(C)=O,CC12CCC(C1)C(C)(C)C2=O,Intensity,,,CC12CCC(C1)C(C)(C)C2=O | (+-)-Fenchone,45.674418605,64.565217391
INT-0124,Anethole,COc1cc(C)ccc1C(C)C,CC=Cc1ccc(OC)cc1,Intensity,,,CC=Cc1ccc(OC)cc1 | Anethole,45.674418605,64.555555556
INT-0125,2-Acetylnaphthalene,CCOC(C)OCC,CC(=O)c1ccc2ccccc2c1,Intensity,,,CC(=O)c1ccc2ccccc2c1 | 2-Acetylnaphthalene,45.810810811,64.239130435
INT-0126,Methyl Nicotinate,CC(C)CO,COC(=O)c1cccnc1,Intensity,,,COC(=O)c1cccnc1 | Methyl Nicotinate,46.0,64.225
INT-0127,"Androsta-4,16-dien-3-one",CCCCCCOC(=O)CCC,C[C@@]12C=CC[C@H]1[C@@H]1CCC3=CC(=O)CC[C@]3(C)[C@H]1CC2,Intensity,,,"C[C@@]12C=CC[C@H]1[C@@H]1CCC3=CC(=O)CC[C@]3(C)[C@H]1CC2 | Androsta-4,16-dien-3-one",46.348837209,63.947368421
INT-0128,Linalool,Cc1cnc(C)cn1,C=CC(C)(O)CCC=C(C)C,Intensity,,,C=CC(C)(O)CCC=C(C)C | Linalool,46.396551724,63.911111111
INT-0129,2-Methoxyphenyl benzeneacetate,CCCCCCCC(=O)OC,COc1ccccc1OC(=O)Cc1ccccc1,Intensity,,,COc1ccccc1OC(=O)Cc1ccccc1 | 2-Methoxyphenyl benzeneacetate,46.55,63.627906977
INT-0130,3-Phenylpropyl propanoate,CC(C)CCC(=O)O,CCC(=O)OCCCc1ccccc1,Intensity,,,CCC(=O)OCCCc1ccccc1 | 3-Phenylpropyl propanoate,46.850746269,63.595238095
INT-0131,"4-Decenol, (4Z)-",CC(=O)CCc1ccc(O)cc1,CCCCC/C=C\CCCO,Intensity,,,"CCCCC/C=C\CCCO | 4-Decenol, (4Z)-",47.11627907,63.531914894
INT-0132,Benzenepropanol,CC(C)C[C@H](N)C(=O)O,OCCCc1ccccc1,Intensity,,,OCCCc1ccccc1 | Benzenepropanol,47.657142857,63.512195122
INT-0133,D-Camphor,CCCCC(CC)C(=O)O,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,Intensity,,,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2 | D-Camphor,48.142857143,63.4
INT-0134,Isoamyl Alcohol,CC(C)Cc1nccs1,CC(C)CCO,Intensity,,,CC(C)CCO | Isoamyl Alcohol,49.0,62.977777778
INT-0135,cis-3-Hexenyl propionate,CCSCC,CC/C=C\CCOC(=O)CC,Intensity,,,CC/C=C\CCOC(=O)CC | cis-3-Hexenyl propionate,49.174603175,62.934782609
INT-0136,"1,6-Hexanedithiol",CCCCCCC=CC(=O)OC,SCCCCCCS,Intensity,,,"SCCCCCCS | 1,6-Hexanedithiol",49.195121951,62.85915493
INT-0137,Dihydrojasmone,CC1COC(c2ccccc2)O1,CCCCCC1=C(C)CCC1=O,Intensity,,,CCCCCC1=C(C)CCC1=O | Dihydrojasmone,49.512820513,62.85106383
INT-0138,5-Hexen-1-ol,COc1cccc(C=O)c1,C=CCCCCO,Intensity,,,C=CCCCCO | 5-Hexen-1-ol,49.717391304,62.0
INT-0139,Hexanal,CC(=O)c1cc(C)oc1C,CCCCCC=O,Intensity,,,CCCCCC=O | Hexanal,50.014705882,61.985074627
INT-0140,Methyl 2-furoate,CCC1OC(=O)C(O)=C1C,COC(=O)c1ccco1,Intensity,,,COC(=O)c1ccco1 | Methyl 2-furoate,50.121621622,61.936170213
INT-0141,1-Hexanol,CC1=CC(=O)CC(C)(C)C1=O,CCCCCCO,Intensity,,,CCCCCCO | 1-Hexanol,50.348837209,61.9
INT-0142,Butyl propionate,CCCCCCCCCC(=O)O,CCCCOC(=O)CC,Intensity,,,CCCCOC(=O)CC | Butyl propionate,50.795454545,61.543478261
INT-0143,Ethyl 2-methylpentanoate,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,CCCC(C)C(=O)OCC,Intensity,,,CCCC(C)C(=O)OCC | Ethyl 2-methylpentanoate,50.926829268,61.520833333
INT-0144,"4-Heptenal, (4Z)-",CCCCOC=O,CC/C=C\CCC=O,Intensity,,,"CC/C=C\CCC=O | 4-Heptenal, (4Z)-",51.0,61.494252874
