Dataset,Mixture 1,Mixture 2,Experimental Values
Snitz 2,8,6,0.699666352
Snitz 2,8,12,0.75005623
Snitz 2,8,3,0.493943735
Snitz 2,8,13,0.766438661
Snitz 2,8,10,0.537752535
Snitz 2,8,14,0.61790083
Snitz 2,6,3,0.648905325
Snitz 2,6,9,0.722060567
Snitz 2,6,4,0.718496654
Snitz 2,12,7,0.661498482
Snitz 2,12,13,0.633933962
Snitz 2,12,4,0.724689658
Snitz 2,12,14,0.608783615
Snitz 2,7,3,0.464489509
Snitz 2,7,9,0.41743823
Snitz 2,7,13,0.560994228
Snitz 2,7,4,0.385388532
Snitz 2,7,10,0.499030847
Snitz 2,7,11,0.344029083
Snitz 2,3,14,0.516065325
Snitz 2,3,11,0.496331653
Snitz 2,9,13,0.582958927
Snitz 2,9,4,0.414009564
Snitz 2,9,11,0.309007512
Snitz 2,13,10,0.609489573
Snitz 2,4,14,0.369436836
Snitz 2,10,11,0.540210831
Snitz 2,14,11,0.374876806
Ravia 1,1,3,0.615227273
Ravia 1,1,8,0.551590909
Ravia 1,1,11,0.689772727
Ravia 1,2,5,0.59
Ravia 1,2,7,0.348181818
Ravia 1,2,8,0.497954546
Ravia 1,3,2,0.533409091
Ravia 1,3,5,0.4725
Ravia 1,4,3,0.5725
Ravia 1,4,9,0.547954546
Ravia 1,5,7,0.595681818
Ravia 1,5,10,0.5875
Ravia 1,5,14,0.530227273
Ravia 1,6,2,0.833409091
Ravia 1,6,3,0.713636364
Ravia 1,6,5,0.722045455
Ravia 1,6,10,0.629318182
Ravia 1,7,1,0.700909091
Ravia 1,7,4,0.530681818
Ravia 1,8,6,0.798181818
Ravia 1,8,12,0.628181818
Ravia 1,8,11,0.533181818
Ravia 1,8,10,0.625227273
Ravia 1,9,2,0.415227273
Ravia 1,9,6,0.771590909
Ravia 1,9,8,0.520909091
Ravia 1,9,13,0.555681818
Ravia 1,12,1,0.675909091
Ravia 1,12,3,0.613181818
Ravia 1,12,5,0.647045455
Ravia 1,11,2,0.453636364
Ravia 1,11,4,0.630909091
Ravia 1,11,12,0.737727273
Ravia 1,11,14,0.464545454
Ravia 1,10,9,0.585909091
Ravia 1,10,11,0.6425
Ravia 1,13,1,0.679545454
Ravia 1,13,5,0.676590909
Ravia 1,13,7,0.387045455
Ravia 1,13,12,0.674772727
Ravia 1,13,10,0.691136364
Ravia 1,14,1,0.610227273
Ravia 1,14,3,0.531136364
Ravia 1,14,4,0.498409091
Ravia 1,14,6,0.803409091
Ravia 1,14,12,0.652272727
Ravia 1,1,2,0.719545455
Ravia 1,1,4,0.779090909
Ravia 1,1,5,0.409545454
Ravia 1,1,6,0.745454546
Ravia 1,1,9,0.647727273
Ravia 1,1,10,0.643409091
Ravia 1,2,4,0.394090909
Ravia 1,2,12,0.745909091
Ravia 1,2,10,0.703409091
Ravia 1,2,13,0.422272727
Ravia 1,2,14,0.395
Ravia 1,3,7,0.535909091
Ravia 1,3,8,0.485681818
Ravia 1,3,9,0.5075
Ravia 1,3,11,0.504318182
Ravia 1,3,10,0.649545455
Ravia 1,3,13,0.396363636
Ravia 1,4,5,0.668409091
Ravia 1,4,6,0.792727273
Ravia 1,4,8,0.513181818
Ravia 1,4,12,0.6675
Ravia 1,4,10,0.650227273
Ravia 1,4,13,0.569772727
Ravia 1,5,8,0.573636364
Ravia 1,5,9,0.625681818
Ravia 1,5,11,0.685
Ravia 1,6,7,0.837272727
Ravia 1,6,12,0.635227273
Ravia 1,6,11,0.849545455
Ravia 1,6,13,0.818863636
Ravia 1,7,8,0.436818182
Ravia 1,7,9,0.477954546
Ravia 1,7,12,0.684090909
Ravia 1,7,11,0.332954546
Ravia 1,7,10,0.668181818
Ravia 1,7,14,0.433409091
Ravia 1,8,13,0.433181818
Ravia 1,8,14,0.427045455
Ravia 1,9,12,0.736818182
Ravia 1,9,11,0.546590909
Ravia 1,9,14,0.2275
Ravia 1,12,10,0.306136364
Ravia 1,11,13,0.275909091
Ravia 1,10,14,0.6675
Ravia 1,13,14,0.5
Ravia 2,1,3,0.6654
Ravia 2,1,8,0.644
Ravia 2,1,11,0.5905
Ravia 2,2,5,0.7491
Ravia 2,2,7,0.7304
Ravia 2,2,8,0.6205
Ravia 2,3,2,0.6769
Ravia 2,3,5,0.4322
Ravia 2,4,3,0.6791
Ravia 2,4,9,0.6743
Ravia 2,5,7,0.3867
Ravia 2,5,10,0.4804
Ravia 2,5,14,0.572
Ravia 2,6,2,0.4817
Ravia 2,6,3,0.6019
Ravia 2,6,5,0.6728
Ravia 2,6,10,0.567
Ravia 2,7,1,0.6644
Ravia 2,7,4,0.681
Ravia 2,8,6,0.5494
Ravia 2,8,12,0.5737
Ravia 2,8,11,0.4342
Ravia 2,8,10,0.5018
Ravia 2,9,2,0.3752
Ravia 2,9,6,0.4898
Ravia 2,9,8,0.4798
Ravia 2,9,13,0.5903
Ravia 2,12,1,0.7618
Ravia 2,12,3,0.5292
Ravia 2,12,5,0.5235
Ravia 2,11,2,0.7157
Ravia 2,11,4,0.7063
Ravia 2,11,12,0.4773
Ravia 2,11,14,0.455
Ravia 2,10,9,0.6539
Ravia 2,10,11,0.4739
Ravia 2,13,1,0.7542
Ravia 2,13,5,0.3202
Ravia 2,13,7,0.3809
Ravia 2,13,12,0.3728
Ravia 2,13,10,0.4985
Ravia 2,14,1,0.6628
Ravia 2,14,3,0.5667
Ravia 2,14,4,0.7062
Ravia 2,14,6,0.5375
Ravia 2,14,12,0.5134
Ravia 2,1,2,0.6364
Ravia 2,1,4,0.2768
Ravia 2,1,5,0.6213
Ravia 2,1,6,0.4639
Ravia 2,1,9,0.5792
Ravia 2,1,10,0.6726
Ravia 2,2,4,0.6731
Ravia 2,2,12,0.8059
Ravia 2,2,10,0.7725
Ravia 2,2,13,0.8229
Ravia 2,2,14,0.6833
Ravia 2,3,7,0.3855
Ravia 2,3,8,0.4696
Ravia 2,3,9,0.5183
Ravia 2,3,11,0.4607
Ravia 2,3,10,0.5519
Ravia 2,3,13,0.4467
Ravia 2,4,5,0.7286
Ravia 2,4,6,0.6529
Ravia 2,4,8,0.6542
Ravia 2,4,12,0.8327
Ravia 2,4,10,0.7128
Ravia 2,4,13,0.7573
Ravia 2,5,8,0.4579
Ravia 2,5,9,0.6734
Ravia 2,5,11,0.2273
Ravia 2,6,7,0.7173
Ravia 2,6,12,0.694
Ravia 2,6,11,0.6914
Ravia 2,6,13,0.715
Ravia 2,7,8,0.1945
Ravia 2,7,9,0.5282
Ravia 2,7,12,0.4857
Ravia 2,7,11,0.4042
Ravia 2,7,10,0.4841
Ravia 2,7,14,0.5004
Ravia 2,8,13,0.5069
Ravia 2,8,14,0.526
Ravia 2,9,12,0.7273
Ravia 2,9,11,0.6285
Ravia 2,9,14,0.5856
Ravia 2,12,10,0.3837
Ravia 2,11,13,0.3468
Ravia 2,10,14,0.2889
Ravia 2,13,14,0.5396
Ravia 4,1,11,0.75
Ravia 4,2,12,0.589285714
Ravia 4,3,13,0.5
Ravia 4,4,14,0.5
Ravia 4,5,15,0.660714286
Ravia 4,6,16,0.517857143
Ravia 4,7,17,0.428571429
Ravia 4,8,18,0.482142857
Ravia 4,9,19,0.375
Ravia 4,10,20,0.75
Ravia 4,21,31,0.589285714
Ravia 4,22,32,0.910714286
Ravia 4,23,33,0.482142857
Ravia 4,24,34,0.732142857
Ravia 4,25,35,0.464285714
Ravia 4,26,36,0.714285714
Ravia 4,27,37,0.5
Ravia 4,28,38,0.607142857
Ravia 4,29,39,0.589285714
Ravia 4,30,40,0.910714286
Ravia 4,41,51,0.354166667
Ravia 4,42,52,0.5
Ravia 4,43,53,0.395833333
Ravia 4,44,54,0.395833333
Ravia 4,45,55,0.354166667
Ravia 4,46,56,0.520833333
Ravia 4,47,57,0.5
Ravia 4,48,58,0.354166667
Ravia 4,49,59,0.3125
Ravia 4,50,60,0.395833333
Ravia 4,61,71,0.666666667
Ravia 4,62,72,0.541666667
Ravia 4,63,73,0.604166667
Ravia 4,64,74,0.458333333
Ravia 4,65,75,0.645833333
Ravia 4,66,76,0.729166667
Ravia 4,67,77,0.645833333
Ravia 4,68,78,0.666666667
Ravia 4,69,79,0.604166667
Ravia 4,70,80,0.770833333
Ravia 4,81,91,0.4375
Ravia 4,82,92,0.359375
Ravia 4,83,93,0.46875
Ravia 4,84,94,0.46875
Ravia 4,85,95,0.671875
Ravia 4,86,96,0.40625
Ravia 4,87,97,0.390625
Ravia 4,88,98,0.421875
Ravia 4,89,99,0.421875
Ravia 4,90,100,0.46875
Ravia 5,1,11,0.4923409897094800
Ravia 5,2,12,0.5402496794131050
Ravia 5,3,13,0.5178886228769030
Ravia 5,4,14,0.4309019085543770
Ravia 5,5,15,0.6544902305280510
Ravia 5,6,16,0.34897872346278600
Ravia 5,7,17,0.4275914902162170
Ravia 5,8,18,0.411075732506281
Ravia 5,9,19,0.6060850246585590
Ravia 5,10,20,0.4822006286800260
Ravia 5,21,31,0.560421592563521
Ravia 5,22,32,0.8372633019750090
Ravia 5,23,33,0.48473528603653500
Ravia 5,24,34,0.6466887106153910
Ravia 5,25,35,0.4451068255913820
Ravia 5,26,36,0.5498366345023580
Ravia 5,27,37,0.46124842464620800
Ravia 5,28,38,0.5659292755645130
Ravia 5,29,39,0.5699722929115410
Ravia 5,30,40,0.575204547496326
Ravia 5,41,51,0.4615165952875830
Ravia 5,42,52,0.6432065809561040
Ravia 5,43,53,0.6604413703977150
Ravia 5,44,54,0.5466372627967160
Ravia 5,45,55,0.3333333370088600
Ravia 5,46,56,0.5684461835667870
Ravia 5,47,57,0.4201463622705250
Ravia 5,48,58,0.34995009451260400
Ravia 5,49,59,0.6172190325947930
Ravia 5,50,60,0.3621292347208570
Ravia 5,81,91,0.639482676098053
Ravia 5,82,92,0.4847539604910680
Ravia 5,83,93,0.5289806676263360
Ravia 5,84,94,0.34136333526269900
Ravia 5,85,95,0.3895583623901650
Ravia 5,86,96,0.33333335630537100
Ravia 5,87,97,0.3333333342522160
Ravia 5,88,98,0.33333335630537100
Ravia 5,89,99,0.43624947942500200
Ravia 5,90,100,0.40205939556698200
Ravia 5,101,111,0.44319013320492500
Ravia 5,102,112,0.4549670284946350
Ravia 5,103,113,0.6722048489865010
Ravia 5,104,114,0.3333333480354380
Ravia 5,105,115,0.5006555970683580
Ravia 5,106,116,0.5969070631093170
Ravia 5,107,117,0.6051019421651360
Ravia 5,108,118,0.44165766138120400
Ravia 5,109,119,0.5103238290424150
Ravia 5,110,120,0.45690897175535400
Bushdid,497,385,0.576923077
Bushdid,242,213,0.692307692
Bushdid,402,496,0.269230769
Bushdid,489,287,0.538461538
Bushdid,501,511,0.576923077
Bushdid,111,274,0.307692308
Bushdid,189,68,0.5
Bushdid,126,38,0.769230769
Bushdid,469,472,0.346153846
Bushdid,140,110,0.538461538
Bushdid,86,337,0.5
Bushdid,66,228,0.653846154
Bushdid,202,74,0.769230769
Bushdid,397,323,0.807692308
Bushdid,261,30,0.730769231
Bushdid,481,313,0.615384615
Bushdid,322,193,0.423076923
Bushdid,256,317,0.576923077
Bushdid,184,254,0.576923077
Bushdid,356,364,0.615384615
Bushdid,34,409,0.538461538
Bushdid,250,460,0.5
Bushdid,324,425,0.576923077
Bushdid,423,181,0.807692308
Bushdid,120,141,0.269230769
Bushdid,163,434,0.307692308
Bushdid,37,101,0.653846154
Bushdid,90,178,0.615384615
Bushdid,476,179,0.653846154
Bushdid,201,354,0.538461538
Bushdid,416,294,0.576923077
Bushdid,231,183,0.5
Bushdid,218,73,0.653846154
Bushdid,300,134,0.346153846
Bushdid,443,410,0.5
Bushdid,488,302,0.307692308
Bushdid,424,430,0.692307692
Bushdid,116,88,0.423076923
Bushdid,16,133,0.538461538
Bushdid,100,348,0.346153846
Bushdid,259,510,0.692307692
Bushdid,105,198,0.384615385
Bushdid,326,484,0.461538462
Bushdid,102,227,0.730769231
Bushdid,387,176,0.307692308
Bushdid,161,255,0.346153846
Bushdid,246,146,0.538461538
Bushdid,223,412,0.769230769
Bushdid,156,78,0.807692308
Bushdid,384,207,0.423076923
Bushdid,15,87,0.769230769
Bushdid,169,27,0.884615385
Bushdid,428,471,0.153846154
Bushdid,327,374,0.423076923
Bushdid,392,437,0.807692308
Bushdid,204,371,0.269230769
Bushdid,14,439,0.846153846
Bushdid,307,61,0.384615385
Bushdid,504,108,0.461538462
Bushdid,1,226,0.730769231
Bushdid,389,292,0.307692308
Bushdid,500,35,0.269230769
Bushdid,94,234,0.192307692
Bushdid,31,167,0.538461538
Bushdid,383,253,0.538461538
Bushdid,414,11,0.846153846
Bushdid,215,191,0.423076923
Bushdid,152,491,0.538461538
Bushdid,365,92,0.576923077
Bushdid,197,507,0.576923077
Bushdid,212,50,0.423076923
Bushdid,339,131,0.692307692
Bushdid,29,406,0.807692308
Bushdid,477,376,0.730769231
Bushdid,419,229,0.846153846
Bushdid,8,498,0.423076923
Bushdid,6,137,0.5
Bushdid,57,458,0.807692308
Bushdid,319,286,0.307692308
Bushdid,190,166,0.692307692
Bushdid,394,118,0.346153846
Bushdid,203,403,0.461538462
Bushdid,400,312,0.615384615
Bushdid,475,160,0.769230769
Bushdid,55,84,0.692307692
Bushdid,60,46,0.230769231
Bushdid,284,314,0.769230769
Bushdid,395,104,0.192307692
Bushdid,517,299,0.269230769
Bushdid,170,159,0.538461538
Bushdid,39,372,0.807692308
Bushdid,130,417,0.769230769
Bushdid,373,165,0.769230769
Bushdid,239,128,0.423076923
Bushdid,99,222,0.807692308
Bushdid,48,180,0.730769231
Bushdid,85,461,0.153846154
Bushdid,269,502,0.5
Bushdid,230,280,0.461538462
Bushdid,398,117,0.153846154
Bushdid,360,40,0.461538462
Bushdid,320,214,0.692307692
Bushdid,139,514,0.307692308
Bushdid,336,248,0.576923077
Bushdid,32,235,0.615384615
Bushdid,77,494,0.653846154
Bushdid,64,329,0.653846154
Bushdid,404,380,0.538461538
Bushdid,224,271,0.5
Bushdid,508,512,0.769230769
Bushdid,495,492,0.730769231
Bushdid,503,379,0.461538462
Bushdid,79,422,0.5
Bushdid,91,399,0.615384615
Bushdid,168,149,0.730769231
Bushdid,135,127,0.384615385
Bushdid,436,262,0.692307692
Bushdid,192,370,0.307692308
Bushdid,391,52,0.538461538
Bushdid,470,411,0.153846154
Bushdid,265,366,0.730769231
Bushdid,381,464,0.461538462
Bushdid,405,241,0.307692308
Bushdid,138,421,0.461538462
Bushdid,334,506,0.269230769
Bushdid,44,388,0.730769231
Bushdid,298,273,0.653846154
Bushdid,187,143,0.730769231
Bushdid,390,440,0.576923077
Bushdid,519,328,0.269230769
Bushdid,418,375,0.461538462
Bushdid,123,121,0.423076923
Bushdid,151,281,0.192307692
Bushdid,429,455,0.538461538
Bushdid,36,452,0.384615385
Bushdid,96,321,0.653846154
Bushdid,291,124,0.923076923
Bushdid,363,172,0.423076923
Bushdid,351,59,0.615384615
Bushdid,80,276,0.346153846
Bushdid,474,263,0.846153846
Bushdid,303,295,0.615384615
Bushdid,43,288,0.384615385
Bushdid,97,225,0.423076923
Bushdid,194,219,0.730769231
Bushdid,304,76,0.5
Bushdid,396,358,0.538461538
Bushdid,473,205,0.384615385
Bushdid,145,340,0.846153846
Bushdid,155,122,0.653846154
Bushdid,200,282,0.269230769
Bushdid,174,82,0.269230769
Bushdid,42,482,0.769230769
Bushdid,309,444,0.576923077
Bushdid,413,75,0.538461538
Bushdid,251,310,0.615384615
Bushdid,331,25,0.423076923
Bushdid,332,293,0.730769231
Bushdid,190,13,0.769230769
Bushdid,420,283,0.384615385
Bushdid,182,9,0.769230769
Bushdid,515,83,0.692307692
Bushdid,442,311,0.423076923
Bushdid,457,54,0.538461538
Bushdid,315,49,0.461538462
Bushdid,393,448,0.653846154
Bushdid,154,233,0.692307692
Bushdid,456,468,0.5
Bushdid,208,196,0.423076923
Bushdid,260,415,0.730769231
Bushdid,210,377,0.461538462
Bushdid,24,490,0.538461538
Bushdid,188,361,0.730769231
Bushdid,478,72,0.269230769
Bushdid,270,23,0.653846154
Bushdid,148,308,0.384615385
Bushdid,19,267,0.230769231
Bushdid,264,346,0.461538462
Bushdid,285,109,0.5
Bushdid,119,301,0.423076923
Bushdid,462,466,0.423076923
Bushdid,58,112,0.538461538
Bushdid,463,107,0.346153846
Bushdid,157,447,0.5
Bushdid,150,355,0.538461538
Bushdid,240,446,0.461538462
Bushdid,432,18,0.5
Bushdid,158,505,0.730769231
Bushdid,297,465,0.692307692
Bushdid,132,342,0.5
Bushdid,278,144,0.307692308
Bushdid,249,279,0.423076923
Bushdid,408,369,0.423076923
Bushdid,493,362,0.846153846
Bushdid,89,4,0.692307692
Bushdid,487,5,0.346153846
Bushdid,316,335,0.5
Bushdid,199,177,0.615384615
Bushdid,62,257,0.538461538
Bushdid,53,344,0.692307692
Bushdid,232,206,0.730769231
Bushdid,147,341,0.769230769
Bushdid,368,305,0.538461538
Bushdid,103,258,0.653846154
Bushdid,352,220,0.692307692
Bushdid,171,431,0.576923077
Bushdid,175,427,0.461538462
Bushdid,266,26,0.576923077
Bushdid,359,347,0.538461538
Bushdid,438,142,0.769230769
Bushdid,162,330,0.653846154
Bushdid,21,268,0.461538462
Bushdid,113,378,0.807692308
Bushdid,247,349,0.269230769
Bushdid,435,20,0.230769231
Bushdid,56,136,0.769230769
Bushdid,499,81,0.576923077
Bushdid,454,325,0.384615385
Bushdid,272,129,0.653846154
Bushdid,306,95,0.5
Bushdid,236,238,0.307692308
Bushdid,47,479,0.769230769
Bushdid,185,277,0.615384615
Bushdid,480,28,0.576923077
Bushdid,357,289,0.576923077
Bushdid,2,45,0.576923077
Bushdid,353,93,0.576923077
Bushdid,486,7,0.5
Bushdid,3,318,0.807692308
Bushdid,33,485,0.538461538
Bushdid,221,426,0.423076923
Bushdid,195,445,0.769230769
Bushdid,115,296,0.615384615
Bushdid,516,333,0.846153846
Bushdid,67,243,0.576923077
Bushdid,153,513,0.423076923
Bushdid,237,65,0.692307692
Bushdid,106,451,0.730769231
Bushdid,12,186,0.384615385
Bushdid,509,98,0.461538462
Bushdid,71,211,0.384615385
Bushdid,173,63,0.5
Bushdid,386,450,0.384615385
Bushdid,209,70,0.653846154
Bushdid,453,467,0.384615385
Bushdid,41,17,0.576923077
Bushdid,216,114,0.423076923
Bushdid,367,290,0.076923077
Bushdid,441,345,0.653846154
Bushdid,244,10,0.653846154
Bushdid,217,252,0.461538462
Bushdid,343,518,0.846153846
Bushdid,407,338,0.730769231
Bushdid,483,449,0.846153846
Bushdid,51,433,0.461538462
Bushdid,245,164,0.576923077
Bushdid,69,382,0.692307692
Bushdid,125,401,0.730769231
Bushdid,350,459,0.538461538
Bushdid,22,275,0.807692308
Ravia 6,201,211,0.6142460364837010
Ravia 6,202,212,0.6806441956789320
Ravia 6,203,213,0.678068856453562
Ravia 6,204,214,0.5752838161174780
Ravia 6,205,215,0.6171799476704260
Ravia 6,206,216,0.6621909288886650
Ravia 6,207,217,0.6136195016235230
Ravia 6,208,218,0.7537874860981920
Ravia 6,221,231,0.6906904942210750
Ravia 6,222,232,0.6816534631610540
Ravia 6,224,234,0.5725686885068630
Ravia 6,226,236,0.5923066011271320
Ravia 6,227,237,0.5942423660906060
Ravia 6,228,238,0.6068908223808550
Ravia 6,241,251,0.6620593624393180
Ravia 6,242,252,0.7715058092130170
Ravia 6,244,254,0.5768294679603700
Ravia 6,245,255,0.49525436289809100
Ravia 6,246,256,0.6556267240683370
Ravia 6,247,257,0.5512793573828190
Ravia 6,248,258,0.5225951086312650
Ravia 6,261,271,0.6226037294534490
Ravia 6,262,272,0.7136304460798520
Ravia 6,263,273,0.7239171659494900
Ravia 6,264,274,0.7233870646278680
Ravia 6,265,275,0.5685056413353190
Ravia 6,266,276,0.6788239930356910
Ravia 6,267,277,0.6029967108374000
Ravia 6,268,278,0.7804003554455180
Ravia 6,281,291,0.6644994950868400
Ravia 6,282,292,0.6879699973959430
Ravia 6,283,293,0.8494008532321920
Ravia 6,284,294,0.7222394877226460
Ravia 6,285,295,0.6289391794210690
Ravia 6,286,296,0.772116950748988
Ravia 6,287,297,0.7504441240563540
Ravia 6,288,298,0.5174422376729660
